layer_name,layer_idx,gamma,mean_sim,eff_rank_lb,residual_norm
features.0,0,0.9836862087249756,0.4459870755672455,1.0328774469325515,0.09914838522672653
features.3,1,0.9557023048400879,0.3068687617778778,1.093150514185415,0.06409648060798645
classifier.0,2,0.9555945992469788,0.1655738800764084,1.0933925300826182,0.03837742283940315
classifier.2,3,0.9455243945121765,0.12526457011699677,1.1163781621920292,0.037284355610609055
classifier.4,4,0.9830670952796936,0.02153799496591091,1.0341567596263055,0.04836380109190941
