layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
classifier.2,3,136,61,0.6804739832878113,0.34220707416534424
classifier.2,3,136,62,0.5774269104003906,0.25852423906326294
classifier.2,3,136,63,0.6702259182929993,0.2470419555902481
classifier.4,4,136,0,0.8329845666885376,0.4047345817089081
classifier.4,4,136,1,0.7568524479866028,0.38160717487335205
classifier.4,4,136,2,0.8862358927726746,0.3634658455848694
classifier.4,4,136,3,0.755959153175354,0.34785303473472595
classifier.4,4,136,4,0.7608382701873779,0.4649021327495575
classifier.4,4,136,5,0.7488427758216858,0.4198771119117737
classifier.4,4,136,6,0.8376054763793945,0.34184831380844116
classifier.4,4,136,7,0.8585092425346375,0.43858227133750916
classifier.4,4,136,8,0.7565091848373413,0.3123128116130829
classifier.4,4,136,9,0.7529205679893494,0.306923508644104
classifier.4,4,136,10,0.8101703524589539,0.16485252976417542
classifier.4,4,136,11,0.7485060691833496,0.3830038905143738
classifier.4,4,136,12,0.7408990859985352,0.23792293667793274
classifier.4,4,136,13,0.7194322347640991,0.4015785753726959
classifier.4,4,136,14,0.7878673672676086,0.3663182258605957
classifier.4,4,136,15,0.7488985061645508,0.35927510261535645
classifier.4,4,136,16,0.7928167581558228,0.40137985348701477
classifier.4,4,136,17,0.7434729337692261,0.2036038339138031
classifier.4,4,136,18,0.8093567490577698,0.3454025387763977
classifier.4,4,136,19,0.7833094000816345,0.2520262598991394
classifier.4,4,136,20,0.7259480953216553,0.36122211813926697
classifier.4,4,136,21,0.7109434008598328,0.09211421757936478
classifier.4,4,136,22,0.7192156910896301,0.3229551911354065
classifier.4,4,136,23,0.7392914891242981,0.2724127471446991
classifier.4,4,136,24,0.7374433279037476,0.33394911885261536
classifier.4,4,136,25,0.7346066832542419,0.22448253631591797
classifier.4,4,136,26,0.8369924426078796,0.2754199802875519
classifier.4,4,136,27,0.7361966967582703,0.39783573150634766
classifier.4,4,136,28,0.8415988087654114,0.38107776641845703
classifier.4,4,136,29,0.8098037242889404,0.10098860412836075
classifier.4,4,136,30,0.8612779378890991,0.394150972366333
classifier.4,4,136,31,0.7217155694961548,0.3939494788646698
classifier.4,4,136,32,0.7348167896270752,0.45268529653549194
classifier.4,4,136,33,0.8300589323043823,0.33138778805732727
classifier.4,4,136,34,0.7846106290817261,0.5108430981636047
classifier.4,4,136,35,0.7442251443862915,0.3051941990852356
classifier.4,4,136,36,0.8511216044425964,0.2563760578632355
classifier.4,4,136,37,0.7549837231636047,0.35752248764038086
classifier.4,4,136,38,0.8064925074577332,0.3673592805862427
classifier.4,4,136,39,0.7224532961845398,0.32271695137023926
classifier.4,4,136,40,0.8480387926101685,0.38529932498931885
