layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
features.0,0,0.6504732370376587,0.2816413640975952,0.5024310350418091,1.9901689211553497,0.2892853021621704,3.456131636334113
features.3,1,0.643276035785675,0.1548900008201599,0.43779313564300537,2.28395466707653,0.18044887483119965,5.53977006491738
classifier.0,2,0.6585767865180969,0.11498036235570908,0.44694286584854126,2.23720614997668,0.1370736062526703,7.2917639394709965
classifier.2,3,0.6799308061599731,0.09100591391324997,0.4705873131752014,2.124817397139966,0.15364579856395721,6.505676114657923
classifier.4,4,0.7764328122138977,0.052994176745414734,0.6056559681892395,1.6510183730723549,0.11678391695022583,8.557766200539692
