layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
classifier.0,2,117,49,0.6247267127037048,0.2616766393184662
classifier.0,2,117,50,0.7346763610839844,0.45782315731048584
classifier.0,2,117,51,0.670472264289856,0.41187170147895813
classifier.0,2,117,52,0.6723079681396484,0.3320203423500061
classifier.0,2,117,53,0.7253183722496033,0.5885226726531982
classifier.0,2,117,54,0.5701221823692322,0.29275164008140564
classifier.0,2,117,55,0.6254758834838867,0.3686983287334442
classifier.0,2,117,56,0.5032441020011902,0.18549805879592896
classifier.0,2,117,57,0.7781683802604675,0.4896499514579773
classifier.0,2,117,58,0.7524459362030029,0.4812873601913452
classifier.0,2,117,59,0.4975873827934265,0.21863165497779846
classifier.0,2,117,60,0.5769824385643005,0.3118264973163605
classifier.0,2,117,61,0.6550238132476807,0.2896591126918793
classifier.0,2,117,62,0.6194992065429688,0.4530143141746521
classifier.0,2,117,63,0.6936026811599731,0.30858761072158813
classifier.2,3,117,0,0.5645473003387451,0.3183189630508423
classifier.2,3,117,1,0.6061532497406006,0.35385841131210327
classifier.2,3,117,2,0.7110472321510315,0.47288304567337036
classifier.2,3,117,3,0.6941020488739014,0.447735071182251
classifier.2,3,117,4,0.6768277883529663,0.48003238439559937
classifier.2,3,117,5,0.6258007287979126,0.4371480345726013
classifier.2,3,117,6,0.65248703956604,0.491597056388855
classifier.2,3,117,7,0.7050557136535645,0.46635711193084717
classifier.2,3,117,8,0.3645937442779541,0.18338604271411896
classifier.2,3,117,9,0.46853065490722656,0.27965977787971497
classifier.2,3,117,10,0.6640026569366455,0.4847240746021271
classifier.2,3,117,11,0.7590038776397705,0.3613995909690857
classifier.2,3,117,12,0.7182807922363281,0.46594271063804626
classifier.2,3,117,13,0.574432373046875,0.30278098583221436
classifier.2,3,117,14,0.7166786789894104,0.45327067375183105
classifier.2,3,117,15,0.6719048023223877,0.4186309576034546
classifier.2,3,117,16,0.6377441883087158,0.36722269654273987
classifier.2,3,117,17,0.8279653191566467,0.5151474475860596
classifier.2,3,117,18,0.6314091086387634,0.40080326795578003
classifier.2,3,117,19,0.6456229090690613,0.3668302297592163
classifier.2,3,117,20,0.682803213596344,0.364932656288147
classifier.2,3,117,21,0.6397932767868042,0.3573259115219116
classifier.2,3,117,22,0.6304346323013306,0.36024153232574463
classifier.2,3,117,23,0.6715246438980103,0.4970209002494812
classifier.2,3,117,24,0.520837128162384,0.3894798457622528
classifier.2,3,117,25,0.7177318930625916,0.47828373312950134
classifier.2,3,117,26,0.4880051016807556,0.2831636965274811
classifier.2,3,117,27,0.5439260005950928,0.34360331296920776
classifier.2,3,117,28,0.564926028251648,0.39314180612564087
classifier.2,3,117,29,0.7299249172210693,0.2178799957036972
classifier.2,3,117,30,0.6436524391174316,0.3909556567668915
classifier.2,3,117,31,0.6638954877853394,0.4315434396266937
classifier.2,3,117,32,0.7302385568618774,0.4542352557182312
classifier.2,3,117,33,0.6118311882019043,0.31978732347488403
