layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
features.0,0,0.4784524142742157,0.41298601031303406,0.39946088194847107,2.5030800228673766,0.24376240372657776,4.101361214882673
features.3,1,0.4556714594364166,0.21323363482952118,0.25310152769088745,3.9500729160244057,0.1584853231906891,6.307115994368683
classifier.0,2,0.6348747611045837,0.0876634418964386,0.41075024008750916,2.4342966369319137,0.1358150988817215,7.359292971298016
classifier.2,3,0.7616977095603943,0.07332073897123337,0.5855589509010315,1.7076755511446453,0.31627872586250305,3.161234207152617
classifier.4,4,0.9721255302429199,0.033644821494817734,0.9461598992347717,1.0568991085663582,0.6165947914123535,1.62173186269881
