layer_name,layer_idx,class_i,class_j,cosine_similarity
features.0,0,0,1,0.04689766466617584
features.0,0,0,2,0.12933237850666046
features.0,0,0,3,0.5322145819664001
features.0,0,0,4,0.665242612361908
features.0,0,0,5,0.5780583024024963
features.0,0,0,6,0.010758831165730953
features.0,0,0,7,0.08051525056362152
features.0,0,0,8,0.27014821767807007
features.0,0,0,9,0.31664809584617615
features.0,0,0,10,0.4858527183532715
features.0,0,0,11,0.8748149275779724
features.0,0,0,12,0.7196401953697205
features.0,0,0,13,0.024556653574109077
features.0,0,0,14,0.016707951202988625
features.0,0,0,15,0.23852910101413727
features.0,0,0,16,0.30210986733436584
features.0,0,0,17,0.8642579913139343
features.0,0,0,18,0.8875133991241455
features.0,0,0,19,0.12187253683805466
features.0,0,0,20,0.7863793969154358
features.0,0,0,21,0.27554556727409363
features.0,0,0,22,0.8110706806182861
features.0,0,0,23,0.2685818076133728
features.0,0,0,24,0.9733101725578308
features.0,0,0,25,0.7288382053375244
features.0,0,0,26,0.7239989638328552
features.0,0,0,27,0.6085371971130371
features.0,0,0,28,0.6834848523139954
features.0,0,0,29,0.029013385996222496
features.0,0,0,30,0.01536256168037653
features.0,0,0,31,0.3958044648170471
features.0,0,0,32,0.9360362887382507
features.0,0,0,33,0.9414659142494202
features.0,0,0,34,0.6994019746780396
features.0,0,0,35,0.27598056197166443
features.0,0,0,36,0.4511513113975525
features.0,0,0,37,0.10262865573167801
features.0,0,0,38,0.4327675402164459
features.0,0,0,39,0.5608969330787659
features.0,0,0,40,0.33976438641548157
features.0,0,0,41,0.5562358498573303
features.0,0,0,42,0.28993332386016846
features.0,0,0,43,0.23788142204284668
features.0,0,0,44,0.8221356272697449
features.0,0,0,45,0.7712737917900085
features.0,0,0,46,0.5621150135993958
features.0,0,0,47,0.37310200929641724
features.0,0,0,48,0.5937523245811462
features.0,0,0,49,0.5788437128067017
features.0,0,0,50,0.7240303754806519
features.0,0,0,51,0.7287312746047974
features.0,0,0,52,0.545089066028595
features.0,0,0,53,0.7516966462135315
features.0,0,0,54,0.6021610498428345
features.0,0,0,55,0.6161355972290039
features.0,0,0,56,0.535897433757782
features.0,0,0,57,0.7178990840911865
features.0,0,0,58,0.924346387386322
features.0,0,0,59,0.9055463075637817
features.0,0,0,60,0.17862683534622192
features.0,0,0,61,0.4278033673763275
features.0,0,1,0,0.04689766466617584
features.0,0,1,2,0.14660142362117767
features.0,0,1,3,0.10756892710924149
features.0,0,1,4,0.17892445623874664
features.0,0,1,5,0.26997485756874084
features.0,0,1,6,0.4952334761619568
features.0,0,1,7,0.9438667297363281
features.0,0,1,8,0.7072710394859314
features.0,0,1,9,0.7050333023071289
features.0,0,1,10,0.06618943065404892
features.0,0,1,11,0.08708422631025314
features.0,0,1,12,0.48270994424819946
features.0,0,1,13,0.8951878547668457
features.0,0,1,14,0.43967321515083313
features.0,0,1,15,0.473770409822464
features.0,0,1,16,0.0039007116574794054
features.0,0,1,17,0.04758121818304062
features.0,0,1,18,0.4000552296638489
features.0,0,1,19,0.8256987929344177
features.0,0,1,20,0.4235835671424866
features.0,0,1,21,0.4924042224884033
features.0,0,1,22,0.4181272089481354
features.0,0,1,23,0.09896502643823624
features.0,0,1,24,0.22330129146575928
features.0,0,1,25,0.2684972584247589
features.0,0,1,26,0.6291738152503967
features.0,0,1,27,0.30148038268089294
features.0,0,1,28,0.36291927099227905
features.0,0,1,29,0.46923941373825073
features.0,0,1,30,0.11911899596452713
features.0,0,1,31,0.08282668143510818
features.0,0,1,32,0.08977453410625458
features.0,0,1,33,0.24565908312797546
features.0,0,1,34,0.35137367248535156
features.0,0,1,35,0.4107614755630493
features.0,0,1,36,0.4541504979133606
features.0,0,1,37,0.7501212358474731
features.0,0,1,38,0.7317624688148499
features.0,0,1,39,0.42768293619155884
features.0,0,1,40,0.8125479817390442
features.0,0,1,41,0.38304734230041504
features.0,0,1,42,0.556739330291748
features.0,0,1,43,0.8186773657798767
features.0,0,1,44,0.13830599188804626
features.0,0,1,45,0.3033798635005951
features.0,0,1,46,0.4667365550994873
features.0,0,1,47,0.8427646160125732
features.0,0,1,48,0.20626281201839447
features.0,0,1,49,0.5299477577209473
features.0,0,1,50,0.610583484172821
features.0,0,1,51,0.612724781036377
features.0,0,1,52,0.014750960282981396
features.0,0,1,53,0.4697446823120117
features.0,0,1,54,0.30171629786491394
features.0,0,1,55,0.003059173235669732
features.0,0,1,56,0.7901049256324768
features.0,0,1,57,0.4029726982116699
features.0,0,1,58,0.29127901792526245
features.0,0,1,59,0.21028345823287964
features.0,0,1,60,0.36491137742996216
features.0,0,1,61,0.016544343903660774
features.0,0,2,0,0.12933237850666046
features.0,0,2,1,0.14660142362117767
features.0,0,2,3,0.03978509455919266
features.0,0,2,4,0.3832545280456543
features.0,0,2,5,0.46019482612609863
features.0,0,2,6,0.612271249294281
features.0,0,2,7,0.4061358869075775
features.0,0,2,8,0.7310892343521118
features.0,0,2,9,0.7311558127403259
features.0,0,2,10,0.4502811133861542
features.0,0,2,11,0.37190455198287964
features.0,0,2,12,0.5398873090744019
features.0,0,2,13,0.34807536005973816
features.0,0,2,14,0.8942598104476929
features.0,0,2,15,0.39193931221961975
features.0,0,2,16,0.5435363054275513
features.0,0,2,17,0.0859178677201271
features.0,0,2,18,0.11959043890237808
features.0,0,2,19,0.10323227941989899
features.0,0,2,20,0.12384814023971558
features.0,0,2,21,0.8182203769683838
features.0,0,2,22,0.22540947794914246
features.0,0,2,23,0.8746930956840515
features.0,0,2,24,0.15521404147148132
features.0,0,2,25,0.33710548281669617
features.0,0,2,26,0.30600157380104065
features.0,0,2,27,0.787726640701294
features.0,0,2,28,0.17166469991207123
features.0,0,2,29,0.3192979395389557
features.0,0,2,30,0.32533136010169983
features.0,0,2,31,0.5110098719596863
features.0,0,2,32,0.11152777820825577
features.0,0,2,33,0.1975378543138504
features.0,0,2,34,0.2872146964073181
features.0,0,2,35,0.9215863347053528
features.0,0,2,36,0.40694576501846313
features.0,0,2,37,0.4793647825717926
features.0,0,2,38,0.26162445545196533
features.0,0,2,39,0.27015984058380127
features.0,0,2,40,0.5108704566955566
features.0,0,2,41,0.38588693737983704
features.0,0,2,42,0.7454127669334412
features.0,0,2,43,0.598290741443634
features.0,0,2,44,0.11372418701648712
features.0,0,2,45,0.5021306872367859
features.0,0,2,46,0.04997128248214722
features.0,0,2,47,0.03411325439810753
features.0,0,2,48,0.6243777871131897
features.0,0,2,49,0.207563579082489
features.0,0,2,50,0.13377371430397034
features.0,0,2,51,0.17189691960811615
features.0,0,2,52,0.7713351249694824
features.0,0,2,53,0.4224567711353302
features.0,0,2,54,0.22965016961097717
features.0,0,2,55,0.3309144675731659
features.0,0,2,56,0.2815300524234772
features.0,0,2,57,0.4973350763320923
features.0,0,2,58,0.13816392421722412
features.0,0,2,59,0.11892484873533249
