layer_name,layer_idx,gamma,mean_sim,eff_rank_lb,residual_norm
features.0,0,0.8524838089942932,0.3166367709636688,1.3208432135469002,0.09579813480377197
features.2,1,0.8179172873497009,0.32084497809410095,1.4168967589376207,0.11726640909910202
features.5,2,0.5415374636650085,0.23456533253192902,2.6896963678352703,0.0816727802157402
features.7,3,0.5860300660133362,0.2377677857875824,2.401633170646335,0.0595606230199337
features.10,4,0.497888445854187,0.17703098058700562,3.0169520159224454,0.05216461420059204
features.12,5,0.5572179555892944,0.16597676277160645,2.583286001608587,0.05137543007731438
features.15,6,0.5959138870239258,0.1414666622877121,2.343196611415631,0.044971391558647156
features.17,7,0.5638821125030518,0.1471894085407257,2.5397152957158506,0.050390295684337616
features.20,8,0.6009702086448669,0.15452247858047485,2.3140282752772676,0.04479799419641495
features.22,9,0.6558127403259277,0.1161000058054924,2.0266970939819346,0.05189957097172737
classifier,10,0.7608156204223633,0.12048061192035675,1.5983737034242402,0.040895842015743256
