layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
features.0,0,0.4543980062007904,0.3320196270942688,0.3166801333427429,3.1556319406112596,0.14173924922943115,7.041879629315672
features.2,1,0.48596999049186707,0.3659899830818176,0.37007367610931396,2.7007275976835476,0.2618938684463501,3.814979612366385
features.5,2,0.47202834486961365,0.2985582947731018,0.3119199275970459,3.2037417670257726,0.19540727138519287,5.110938406991637
features.7,3,0.5207899212837219,0.25729602575302124,0.3374027609825134,2.9619985595181615,0.19146136939525604,5.216099978492354
features.10,4,0.477039635181427,0.21629783511161804,0.27433690428733826,3.642141464787194,0.13092303276062012,7.62225888628646
features.12,5,0.5014440417289734,0.20478418469429016,0.2933695316314697,3.406105658581264,0.1276647001504898,7.81632327225469
features.15,6,0.4745299220085144,0.21695569157600403,0.27223366498947144,3.6702478575682616,0.10952892154455185,9.106864255504206
features.17,7,0.5907924771308899,0.22367623448371887,0.39905115962028503,2.5047652229244823,0.13805533945560455,7.22936259250961
features.20,8,0.6378517746925354,0.2125340849161148,0.45201149582862854,2.211495017856374,0.2100568413734436,4.7550263722222414
features.22,9,0.7541754841804504,0.09428322315216064,0.5776670575141907,1.7307054275363072,0.24071086943149567,4.150269273422257
classifier,10,0.8343595862388611,0.07079635560512543,0.7011664509773254,1.4260048934472136,0.3964002728462219,2.5215023843799225
