layer_name,layer_idx,batch_idx,sample_idx,alpha_bias,alpha_weight
stem.1,0,0,0,0.419717401266098,0.27777084708213806
stem.1,0,0,1,0.2759747803211212,0.3180590271949768
stem.1,0,0,2,0.5517503023147583,0.6198453903198242
stem.1,0,0,3,0.38107746839523315,0.5532540678977966
stem.1,0,0,4,0.6855250597000122,0.7165994644165039
stem.1,0,0,5,0.1611989289522171,0.5000540614128113
stem.1,0,0,6,0.5339617729187012,0.5173659324645996
stem.1,0,0,7,0.6334851980209351,0.6846904754638672
stem.1,0,0,8,-0.0371352955698967,0.0008556097745895386
stem.1,0,0,9,0.34463903307914734,0.5890582799911499
stem.1,0,0,10,0.638664722442627,0.7518328428268433
stem.1,0,0,11,0.16379359364509583,0.2837848663330078
stem.1,0,0,12,0.06860976666212082,0.09777449071407318
stem.1,0,0,13,0.31006360054016113,0.38665616512298584
stem.1,0,0,14,0.05686650052666664,0.0749669000506401
stem.1,0,0,15,0.5877609252929688,0.43272337317466736
stem.1,0,0,16,0.001686595380306244,-0.1655345857143402
stem.1,0,0,17,0.48725175857543945,0.7301284074783325
stem.1,0,0,18,0.3543740510940552,0.6537059545516968
stem.1,0,0,19,0.4150562882423401,0.5238785743713379
stem.1,0,0,20,0.1754550039768219,0.6249120235443115
stem.1,0,0,21,0.5381174087524414,0.2625327408313751
stem.1,0,0,22,0.4862884283065796,0.6060957908630371
stem.1,0,0,23,0.2753203511238098,0.002032928168773651
stem.1,0,0,24,0.40913012623786926,0.5015249252319336
stem.1,0,0,25,0.36011454463005066,0.29161006212234497
stem.1,0,0,26,0.18410515785217285,0.4053688049316406
stem.1,0,0,27,0.5463159084320068,0.49595555663108826
stem.1,0,0,28,0.5857532024383545,0.40377795696258545
stem.1,0,0,29,0.666701078414917,0.5792436003684998
stem.1,0,0,30,-0.029705649241805077,0.17179450392723083
stem.1,0,0,31,0.389322429895401,0.4281022548675537
stem.1,0,0,32,0.006866425275802612,0.046204812824726105
stem.1,0,0,33,0.3115726113319397,0.24294014275074005
stem.1,0,0,34,0.2912949323654175,0.5928661823272705
stem.1,0,0,35,0.6388896703720093,0.7450257539749146
stem.1,0,0,36,0.1336086243391037,0.47751903533935547
stem.1,0,0,37,0.14932341873645782,0.21915540099143982
stem.1,0,0,38,-0.17446184158325195,0.3320488929748535
stem.1,0,0,39,0.5035893321037292,0.678581953048706
stem.1,0,0,40,0.533313512802124,0.6415499448776245
stem.1,0,0,41,0.3856852650642395,0.5553314685821533
stem.1,0,0,42,0.17889492213726044,0.389519065618515
stem.1,0,0,43,0.5796992778778076,0.7198982238769531
stem.1,0,0,44,0.5210051536560059,0.6463959217071533
stem.1,0,0,45,0.370455265045166,0.28419029712677
stem.1,0,0,46,0.14480288326740265,0.3812512457370758
stem.1,0,0,47,0.24181805551052094,0.48286402225494385
stem.1,0,0,48,0.23810994625091553,0.5710550546646118
stem.1,0,0,49,0.19918940961360931,0.4533681273460388
stem.1,0,0,50,0.4940585196018219,0.5591250658035278
stem.1,0,0,51,0.3750647306442261,0.38586416840553284
stem.1,0,0,52,0.47257137298583984,0.4897732734680176
stem.1,0,0,53,0.5615882277488708,0.7560300230979919
stem.1,0,0,54,0.5100611448287964,0.626953661441803
stem.1,0,0,55,0.23685330152511597,0.4655192494392395
stem.1,0,0,56,0.13698525726795197,0.39813244342803955
stem.1,0,0,57,0.495719313621521,0.5229604244232178
stem.1,0,0,58,-0.04979277402162552,0.32336464524269104
stem.1,0,0,59,0.2719768285751343,0.22852349281311035
stem.1,0,0,60,0.4731713533401489,0.5877362489700317
stem.1,0,0,61,0.31092846393585205,0.35607969760894775
stem.1,0,0,62,0.4654543101787567,0.4832483232021332
stem.1,0,0,63,0.31373879313468933,0.3874257802963257
layer1.0.bn1,1,0,0,0.3169727921485901,-0.011820890009403229
layer1.0.bn1,1,0,1,0.32959866523742676,0.2960120737552643
layer1.0.bn1,1,0,2,0.577989399433136,0.47102949023246765
layer1.0.bn1,1,0,3,0.3284773826599121,0.49294328689575195
layer1.0.bn1,1,0,4,0.5309189558029175,0.7309290170669556
layer1.0.bn1,1,0,5,-0.114873006939888,0.28508269786834717
layer1.0.bn1,1,0,6,0.6046053767204285,0.5809439420700073
layer1.0.bn1,1,0,7,0.4956614673137665,0.6657314896583557
layer1.0.bn1,1,0,8,-0.09889882802963257,-0.1569654941558838
layer1.0.bn1,1,0,9,-0.08587490022182465,0.29022544622421265
layer1.0.bn1,1,0,10,0.5256131887435913,0.7808908224105835
layer1.0.bn1,1,0,11,0.2478325515985489,0.3142709732055664
layer1.0.bn1,1,0,12,0.046735092997550964,0.10926389694213867
layer1.0.bn1,1,0,13,0.4207382798194885,0.3896070122718811
layer1.0.bn1,1,0,14,0.06559380888938904,-0.26634931564331055
layer1.0.bn1,1,0,15,0.4675235152244568,0.4228256344795227
layer1.0.bn1,1,0,16,0.17727532982826233,0.16024072468280792
layer1.0.bn1,1,0,17,0.40937039256095886,0.5506322383880615
layer1.0.bn1,1,0,18,-0.01892109215259552,0.3349032402038574
layer1.0.bn1,1,0,19,-0.050824124366045,0.47050341963768005
layer1.0.bn1,1,0,20,0.14954081177711487,0.558623194694519
layer1.0.bn1,1,0,21,0.5520444512367249,0.25636664032936096
layer1.0.bn1,1,0,22,0.22311553359031677,0.23490305244922638
layer1.0.bn1,1,0,23,0.08775018155574799,-0.017245471477508545
layer1.0.bn1,1,0,24,0.41399598121643066,0.6977996826171875
layer1.0.bn1,1,0,25,0.26853686571121216,-0.06875719130039215
layer1.0.bn1,1,0,26,0.1727258861064911,0.01471458375453949
layer1.0.bn1,1,0,27,0.4834834635257721,0.4588576853275299
layer1.0.bn1,1,0,28,0.691058874130249,0.4054105877876282
layer1.0.bn1,1,0,29,0.6204023361206055,0.5559790134429932
layer1.0.bn1,1,0,30,-0.04787862300872803,0.28422805666923523
layer1.0.bn1,1,0,31,0.5428142547607422,0.5343387722969055
layer1.0.bn1,1,0,32,0.05434444919228554,0.20559453964233398
layer1.0.bn1,1,0,33,0.49892550706863403,0.13458843529224396
layer1.0.bn1,1,0,34,0.17588281631469727,0.35141655802726746
layer1.0.bn1,1,0,35,0.6499412059783936,0.6906017065048218
layer1.0.bn1,1,0,36,-0.13759845495224,0.32825616002082825
layer1.0.bn1,1,0,37,0.3545137345790863,0.14130091667175293
layer1.0.bn1,1,0,38,-0.10716001689434052,0.13191667199134827
layer1.0.bn1,1,0,39,0.3281228542327881,0.6264393925666809
layer1.0.bn1,1,0,40,0.34375178813934326,0.60384202003479
layer1.0.bn1,1,0,41,0.4945923984050751,0.3697088956832886
layer1.0.bn1,1,0,42,0.5314370393753052,0.5485984683036804
layer1.0.bn1,1,0,43,0.5097867250442505,0.6731082797050476
layer1.0.bn1,1,0,44,0.5714017748832703,0.6146644353866577
layer1.0.bn1,1,0,45,0.10138946026563644,0.08821508288383484
layer1.0.bn1,1,0,46,0.20998695492744446,0.4422922134399414
layer1.0.bn1,1,0,47,0.4431806802749634,0.4710359573364258
layer1.0.bn1,1,0,48,0.08340044319629669,0.41656458377838135
layer1.0.bn1,1,0,49,0.3467564284801483,0.49891310930252075
layer1.0.bn1,1,0,50,0.6832900643348694,0.6746332049369812
layer1.0.bn1,1,0,51,0.17712624371051788,0.2688988447189331
layer1.0.bn1,1,0,52,0.4902926981449127,0.547897219657898
layer1.0.bn1,1,0,53,0.5345081090927124,0.5840781927108765
layer1.0.bn1,1,0,54,0.6354117393493652,0.6661379337310791
layer1.0.bn1,1,0,55,0.40047574043273926,0.3352716267108917
