layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
stem.1,0,0.07253572344779968,0.24824132025241852,0.06688036769628525,14.935789540469745,0.07115086168050766,14.040322801126896
layer1.0.bn1,1,0.11939669400453568,0.24549201130867004,0.07451719045639038,13.406712839921733,0.10029662400484085,9.963442254960455
layer1.0.bn2,2,0.08686147630214691,0.26983481645584106,0.08035005629062653,12.434422479156424,0.07328673452138901,13.631566628849185
layer1.1.bn1,3,0.1426253467798233,0.2643054723739624,0.09019391238689423,11.078491534051771,0.0845089703798294,11.82305632284951
layer1.1.bn2,4,0.1676439791917801,0.24115733802318573,0.08625683188438416,11.583697170585802,0.07270170748233795,13.74114140324354
layer2.0.bn1,5,0.18586575984954834,0.20812667906284332,0.07785941660404205,12.831787607919125,0.0679147019982338,14.708580328021348
layer2.0.bn2,6,0.14509356021881104,0.21106696128845215,0.06559792160987854,15.227438357223676,0.053154610097408295,18.786896934956705
layer2.0.downsample.1,7,0.14509356021881104,0.21106696128845215,0.06559792160987854,15.227438357223676,0.06685381382703781,14.941715006505415
layer2.1.bn1,8,0.15590032935142517,0.21166737377643585,0.06910447776317596,14.455627871424579,0.05990859121084213,16.671656607283094
layer2.1.bn2,9,0.21275702118873596,0.20135487616062164,0.08580616861581802,11.644480648764322,0.06701895594596863,14.904939844413999
layer3.0.bn1,10,0.22305354475975037,0.18116730451583862,0.08257192373275757,12.100150027891939,0.06734737753868103,14.832339670706643
layer3.0.bn2,11,0.29696282744407654,0.1747136116027832,0.11870937049388885,8.419051435196765,0.08053191006183624,12.406370806974001
layer3.0.downsample.1,12,0.29696282744407654,0.1747136116027832,0.11870937049388885,8.419051435196765,0.0826733186841011,12.08532377365765
layer3.1.bn1,13,0.3391627371311188,0.1732734739780426,0.1450527310371399,6.890871317005019,0.11333261430263519,8.81819513476089
layer3.1.bn2,14,0.43633773922920227,0.1839536428451538,0.2242269068956375,4.45856285221423,0.12397142499685287,8.061923955441788
layer4.0.bn1,15,0.43395718932151794,0.1708477884531021,0.21750549972057343,4.596292953467456,0.14787420630455017,6.759461279623192
layer4.0.bn2,16,0.5682523846626282,0.18725159764289856,0.35797119140625,2.793129486031703,0.21743714809417725,4.597737284601818
layer4.0.downsample.1,17,0.5682523846626282,0.18725159764289856,0.35797119140625,2.793129486031703,0.2124139815568924,4.7064246100865335
layer4.1.bn1,18,0.6045012474060059,0.1860066056251526,0.40001749992370605,2.499597707128658,0.3176725506782532,3.1473673396546253
layer4.1.bn2,19,0.66657555103302,0.18081897497177124,0.4770159125328064,2.0961865647879887,0.32195499539375305,3.1055131784926746
fc,20,0.7326120138168335,0.1800939291715622,0.5691516399383545,1.756897086833459,0.41694748401641846,2.398121569294431
