layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
stem.1,0,0.6187807321548462,0.16155891120433807,0.4089888632297516,2.444778327600217,0.4801410734653473,2.0825450439700393
layer1.0.bn1,1,0.6251481175422668,0.17057575285434723,0.41990402340888977,2.3812395644085,0.4616290330886841,2.166044197590162
layer1.0.bn2,2,0.7137731909751892,0.10484645515680313,0.5204641819000244,1.9212235019062802,0.5688332915306091,1.7578802018877744
layer1.1.bn1,3,0.7491223812103271,0.08890697360038757,0.5690881609916687,1.7570930330390937,0.564272403717041,1.7720867877047166
layer1.1.bn2,4,0.7823165059089661,0.06435707211494446,0.6161606907844543,1.6228742685127604,0.603770911693573,1.6561724143253491
layer2.0.bn1,5,0.7339169383049011,0.07934872806072235,0.5449296832084656,1.8349794255117482,0.5651629567146301,1.7692948158934951
layer2.0.bn2,6,0.7559173703193665,0.0698447898030281,0.5762889981269836,1.7351408085162003,0.6492581963539124,1.540154286025546
layer2.0.downsample.1,7,0.7559173703193665,0.0698447898030281,0.5762889981269836,1.7351408085162003,0.39102280139923096,2.557084472279627
layer2.1.bn1,8,0.7727285623550415,0.06134422495961189,0.6008722186088562,1.6641609868888358,0.6101782917976379,1.638783451797377
layer2.1.bn2,9,0.8371314406394958,0.040485262870788574,0.7024279236793518,1.42358648969431,0.7250396609306335,1.3791940285769146
layer3.0.bn1,10,0.8767808675765991,0.03304065763950348,0.7698362469673157,1.2989472047323036,0.7652230262756348,1.3067772334950822
layer3.0.bn2,11,0.9046830534934998,0.022898878902196884,0.8189758062362671,1.2210162043812238,0.7891793251037598,1.26711267864163
layer3.0.downsample.1,12,0.9046830534934998,0.022898878902196884,0.8189758062362671,1.2210162043812238,0.7779895067214966,1.2853357224276925
layer3.1.bn1,13,0.9370916485786438,0.0153367780148983,0.8783761858940125,1.1384520639347275,0.892123818397522,1.1209100483636025
layer3.1.bn2,14,0.9594224691390991,0.008844743482768536,0.9205695986747742,1.0862766487433786,0.9086104035377502,1.1005730702702083
layer4.0.bn1,15,0.9555604457855225,0.009150290861725807,0.9131795763969421,1.0950667290399974,0.9119165539741516,1.0965832881237298
layer4.0.bn2,16,0.9808297753334045,0.004393380135297775,0.962046205997467,1.039447909483349,0.9602072238922119,1.041438490806689
layer4.0.downsample.1,17,0.9808297753334045,0.004393380135297775,0.962046205997467,1.039447909483349,0.9633288383483887,1.0380640399976315
layer4.1.bn1,18,0.9792810678482056,0.004553808365017176,0.9590122699737549,1.0427360441927949,0.9602898359298706,1.0413489049831004
layer4.1.bn2,19,0.9933373332023621,0.0022333739325404167,0.9867239594459534,1.0134535998647047,0.975741446018219,1.0248596711920404
fc,20,0.9980452656745911,0.0018613912397995591,0.9960977435112,1.0039172364683022,0.9869264960289001,1.013245635867192
