layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
conv_layers.0,0,0.8914576768875122,0.1044878140091896,0.8056136965751648,1.2412663195453508,0.5740689635276794,1.7418500170528777
conv_layers.4,1,0.7277774810791016,0.12515223026275635,0.5453219413757324,1.8336596866728916,0.38434943556785583,2.601473484290372
fc_layers.0,2,0.5527379512786865,0.08643360435962677,0.3129894435405731,3.1944480958860755,0.07505235821008682,13.311214462665228
fc_layers.3,3,0.7638283371925354,0.06624529510736465,0.587821900844574,1.701102351549615,0.1837884783744812,5.439150190672893
