layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
conv_layers.0,0,0.12124038487672806,0.5059143900871277,0.27062857151031494,3.6943234319549356,0.11411026120185852,8.758141379749604
conv_layers.4,1,0.50600266456604,0.2609058916568756,0.32410526275634766,3.084914703578366,0.2429196983575821,4.11558454781037
fc_layers.0,2,0.6353725790977478,0.19664400815963745,0.4423641860485077,2.2603582086043277,0.18002641201019287,5.552764444567981
fc_layers.3,3,0.8119823932647705,0.17808856070041656,0.6910285353660583,1.447067691421273,0.5065935254096985,1.9738189659951038
