layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
conv_layers.0,0,0.795896589756012,0.17015716433525085,0.6624025702476501,1.50959586589089,0.31179702281951904,3.206661720406601
conv_layers.4,1,0.6469247341156006,0.157924085855484,0.4434497058391571,2.254826056321544,0.2909509539604187,3.4363510987531027
fc_layers.0,2,0.5645202398300171,0.06282447278499603,0.32262974977493286,3.0990198180651243,0.10105331242084503,9.88889352293442
fc_layers.3,3,0.740650475025177,0.0424308218061924,0.550363302230835,1.816865638289869,0.18881992995738983,5.294274061196979
