layer_name,layer_idx,mean_alpha_bias,std_alpha_bias,mean_alpha_sq_bias,eff_rank_bound_bias,mean_alpha_weight,eff_rank_bound_weight
conv_layers.0,0,0.8658589720726013,0.07705264538526535,0.7556484937667847,1.3233331951233893,0.204647958278656,4.884956824028998
conv_layers.4,1,0.8422182202339172,0.07774008810520172,0.7153745889663696,1.3978256013576056,0.48213401436805725,2.07393806634351
fc_layers.0,2,0.592042088508606,0.07765378057956696,0.35654351115226746,2.80431135295523,0.1729368269443512,5.7802984967408735
fc_layers.3,3,0.7862289547920227,0.07059656083583832,0.6231394410133362,1.6047014271671487,0.23728260397911072,4.2133258103395645
