layer_name,layer_idx,class_i,class_j,cosine_similarity
conv_layers.0,0,2,37,0.5407500267028809
conv_layers.0,0,2,38,0.07571743428707123
conv_layers.0,0,2,39,0.07790173590183258
conv_layers.0,0,2,40,0.503176212310791
conv_layers.0,0,2,41,0.40280839800834656
conv_layers.0,0,2,42,0.13201233744621277
conv_layers.0,0,3,0,0.351154088973999
conv_layers.0,0,3,1,0.07008346915245056
conv_layers.0,0,3,2,0.07675828784704208
conv_layers.0,0,3,4,0.29674655199050903
conv_layers.0,0,3,5,0.1151791512966156
conv_layers.0,0,3,6,0.2751728892326355
conv_layers.0,0,3,7,0.7746483087539673
conv_layers.0,0,3,8,0.5376975536346436
conv_layers.0,0,3,9,0.30232128500938416
conv_layers.0,0,3,10,0.3868088722229004
conv_layers.0,0,3,11,0.6598769426345825
conv_layers.0,0,3,12,0.4634324014186859
conv_layers.0,0,3,13,0.10423503816127777
conv_layers.0,0,3,14,0.42427000403404236
conv_layers.0,0,3,15,0.30829566717147827
conv_layers.0,0,3,16,0.3128257095813751
conv_layers.0,0,3,17,0.6504509449005127
conv_layers.0,0,3,18,0.46346136927604675
conv_layers.0,0,3,19,0.36650145053863525
conv_layers.0,0,3,20,0.014641226269304752
conv_layers.0,0,3,21,0.0010387860238552094
conv_layers.0,0,3,22,0.1558530032634735
conv_layers.0,0,3,23,0.5943524837493896
conv_layers.0,0,3,24,0.38587698340415955
conv_layers.0,0,3,25,0.07424318790435791
conv_layers.0,0,3,26,0.6193765997886658
conv_layers.0,0,3,27,0.15144270658493042
conv_layers.0,0,3,28,0.3573310375213623
conv_layers.0,0,3,29,0.3033630847930908
conv_layers.0,0,3,30,0.5524605512619019
conv_layers.0,0,3,31,0.28967317938804626
conv_layers.0,0,3,32,0.3342204988002777
conv_layers.0,0,3,33,0.5158141851425171
conv_layers.0,0,3,34,0.2783638834953308
conv_layers.0,0,3,35,0.1810416430234909
conv_layers.0,0,3,36,0.1630212813615799
conv_layers.0,0,3,37,0.1946265697479248
conv_layers.0,0,3,38,0.6015302538871765
conv_layers.0,0,3,39,0.6739664077758789
conv_layers.0,0,3,40,0.38940417766571045
conv_layers.0,0,3,41,0.14157100021839142
conv_layers.0,0,3,42,0.6690317392349243
conv_layers.0,0,4,0,0.5581226944923401
conv_layers.0,0,4,1,0.0651690885424614
conv_layers.0,0,4,2,0.6968600153923035
conv_layers.0,0,4,3,0.29674655199050903
conv_layers.0,0,4,5,0.18067795038223267
conv_layers.0,0,4,6,0.04342768341302872
conv_layers.0,0,4,7,0.036431558430194855
conv_layers.0,0,4,8,0.3049885034561157
conv_layers.0,0,4,9,0.05789554491639137
conv_layers.0,0,4,10,0.6048200130462646
conv_layers.0,0,4,11,0.3162430226802826
conv_layers.0,0,4,12,0.266519159078598
conv_layers.0,0,4,13,0.1666136533021927
conv_layers.0,0,4,14,0.46518051624298096
conv_layers.0,0,4,15,0.22375154495239258
conv_layers.0,0,4,16,0.14339427649974823
conv_layers.0,0,4,17,0.19786062836647034
conv_layers.0,0,4,18,0.89556485414505
conv_layers.0,0,4,19,0.267578661441803
conv_layers.0,0,4,20,0.5326705574989319
